SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
2347140,Аккум. Пылесос Einhell TE-VC 36/30 Li S-Solo (2347140),0,0,0,135900,
2347143,Аккум. Пылесос Einhell TP-VC 36/30 S Auto-Solo (2347143),0,0,0,149000,
2347145,Аккум. Пылесос Einhell TC-VC 18/15 Li-Solo (2347145),0,0,0,44200,
2347160,Аккум. Пылесос Einhell TE-VC 18/10 Li-Solo (2347160),0,0,0,51000,
2347170,Аккум. Пылесос Einhell TE-VC 36/25 Li S-Solo (2347170),0,0,0,102000,
2351700,Аккум. Пылесос для золы Einhell TE-AV 18/15 Li C-Solo (2351700),0,0,1,61200,
4512064,Зарядное устройство в комплекте Einhell Power X-Boostcharger 6A (4512064),0,0,1,35700,
4512069,Зарядное устройство в комплекте Einhell Power X-Twincharger 3A (4512069),0,0,0,35700,
4512102,Зарядное устройство в комплекте Einhell 2x2 Power X-Quattrocharger 4A (4512102),0,52,15,65000,
4512103,Зарядное устройство в комплекте Einhell Power X-Fastcharger 4A (4512103),0,0,106,22700,
4512113,Зарядное устройство в комплекте Einhell Power X-Car Charger 3A (4512113),0,0,18,35700,
4512155,Зарядное устройство в комплекте Einhell Power X-Boostcharger 8A (4512155),0,60,2,45500,
4511395,"Аккумулятор Einhell 2,0 Ah Power X-Change (4511395)",0,0,0,23800,
4511396,"Аккумулятор Einhell 4,0 Ah Power X-Change (4511396)",0,0,0,30600,
4511437,"Аккумулятор Einhell 5,2 Ah Power X-Change Plus (4511437)",0,64,35,47600,
4511501,"Аккумулятор Einhell 3,0 Ah Power X-Change Plus (4511501)",0,0,9,34000,
4511502,Аккумулятор Einhell 4-6 Ah Multi-Ah Power X-Change Plus (4511502),0,72,1,61200,
4511553,"Аккумулятор Einhell 18V 4,0Ah Power-X-Change Plus (4511553)",0,0,0,40800,
4511600,Аккумулятор Einhell 18V 5-8Ah Multi-Ah PXC Plus (4511600),0,0,1,85000,
4511618,"Аккумулятор Einhell 18V 3,0Ah SEALED PXC Plus A2 (4511618)",0,0,40,35400,
4511627,"Аккумулятор Einhell 18V 4,0Ah SEALED PXC Plus (4511627)",0,0,36,40800,
4140151,Силиконовый чехол для аккумулятора Einhell PXC Battery Protector (4140151),0,0,0,6800,
4514155,Крепление на стену для аккумуляторов Einhell PXC Battery Mounting Gadget (4514155),0,0,2,2800,
4511526,"Аккумулятор Einhell 2x 18V 5,2Ah PXC-Twinpack (4511526)",0,56,9,88400,
4511629,Аккумулятор Einhell 18V 4Ah PXC Plus Twinpack (4511629),0,0,61,74800,
4511631,Аккумулятор Einhell 18V 3Ah PXC Plus Twinpack (4511631),0,0,0,61200,
4257935,Сетев. Перфоратор SDS-Max Einhell TE-RH 40 3F (4257935),0,50,47,142800,
